Method,Name,Error,Occurrences
POST,/trainers/2361/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2361/pokemon/'),1
POST,/trainers/2522/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2522/pokemon/'),1
POST,/trainers/2525/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2525/pokemon/'),1
POST,/trainers/2208/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2208/pokemon/'),1
POST,/trainers/2527/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2527/pokemon/'),1
POST,/trainers/2573/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2573/pokemon/'),1
POST,/trainers/2518/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2518/pokemon/'),1
POST,/trainers/2500/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2500/pokemon/'),1
POST,/trainers/2248/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2248/pokemon/'),1
POST,/trainers/2251/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2251/pokemon/'),1
POST,/trainers/2155/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2155/pokemon/'),1
POST,/trainers/2343/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2343/pokemon/'),1
POST,/trainers/2419/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2419/pokemon/'),1
POST,/trainers/2377/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2377/pokemon/'),1
